ring_number,工作舱压力,总推力,刀盘扭矩1
500,5.12,61291.0,5322.0
501,5.10875,63539.015625,5319.953125
502,5.045205479452055,62101.04109589041,5288.917808219178
503,5.110394736842105,62796.55263157895,5195.013157894737
504,5.112763157894737,60743.69736842105,5098.921052631579
505,5.135142857142857,60199.47142857143,5533.4857142857145
506,5.116716417910448,61407.94029850746,5824.2835820895525
507,5.129714285714286,61538.0,5572.714285714285
508,5.123095238095238,49820.34523809524,4791.369047619048
510,5.073823529411764,62703.30882352941,5564.10294117647
511,5.147222222222222,68852.29166666667,6230.402777777777
512,5.146029411764706,62639.14705882353,6423.029411764706
513,5.15,65196.15277777778,6346.527777777777
514,5.145294117647059,63106.882352941175,6390.308823529412
515,5.15536231884058,60853.86956521739,6261.95652173913
516,5.149714285714286,62681.7,6405.257142857143
517,5.1540298507462685,65137.73134328358,6555.731343283582
518,5.156086956521738,65720.2463768116,6493.855072463768
519,5.154857142857143,64188.31428571429,6777.671428571429
520,5.157746478873239,68539.49295774648,6401.802816901409
521,5.151194029850746,72202.79104477612,7061.9701492537315
522,5.224788732394366,71812.87323943662,7419.028169014085
523,5.163815789473684,71316.51315789473,7015.25
524,5.17425,75967.35,7971.15
525,5.243125,76973.4625,8773.9625
526,5.117078651685393,79508.97752808989,8682.943820224718
527,5.20453488372093,70804.40697674418,8748.418604651162
528,5.230243902439025,79867.01219512195,6926.341463414634
529,5.242647058823529,74295.51470588235,8041.470588235294
530,5.247012987012987,68639.79220779221,8631.285714285714
531,4.735086206896551,46555.96551724138,5945.077586206897
532,4.163888888888889,64120.48148148148,7124.2962962962965
533,5.091308411214953,81225.2523364486,8678.766355140187
534,5.2028888888888885,75108.86666666667,8207.6
535,5.173692307692308,78374.46153846153,9026.415384615384
536,5.197027027027027,75820.24324324324,8880.202702702703
537,5.1947368421052635,70181.82894736843,9797.526315789473
538,5.2220270270270275,72089.22972972973,9932.148648648648
539,5.226410256410257,75587.38461538461,10371.564102564103
540,5.358552631578948,78626.3947368421,11881.026315789473
